SoldAs,IdentifiedAs,CommonName,Mislabelled,PurchaseLocation,City,Year,ExpectedGen,ExpectedMoreGen,RealGen,RealMoreGen,isMislabelled
"Cod, Pacific","Pangasianodon
(Pangasius)
hypophthalmus","Striped catfish
(Pangasius, Basa, Sutchi
catfish)",Yes,Restaurant,victoria,2018,"Cod, Pacific",Cod,"Striped catfish
",Catfish,1
"Cod, Pacific",Sebastes alutus,"Pacific ocean perch
(Rockfish, Rosefish,
Redfish, Ocean perch,
Pacific Ocean perch)",Yes,Restaurant,victoria,2018,"Cod, Pacific",Cod,"Pacific ocean perch
",perch,1
"Crab, Dungeness",Cancer irroratus,"Atlantic rock crab (Rock
crab, Crab)",Yes,Restaurant,victoria,2018,"Crab, Dungeness",Crab,Atlantic rock crab,Crab,1
"Salmon, Sockeye",Oncorhynchus mykiss,"Rainbow trout (Rainbow
trout, Trout, Steelhed
trout, Steelhead, Deep
sea trout, Steelhead
salmon)",Yes,Restaurant,victoria,2018,"Salmon, Sockeye",Salmon,Rainbow trout,Trout,1
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Restaurant,victoria,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Restaurant,victoria,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
"Salmon, Sockeye","Oncorhynchus
nerka","Sockeye salmon
(Sockeye salmon, Red
salmon, Red sockeye
salmon)",No,Restaurant,victoria,2018,"Salmon, Sockeye",Salmon,"Sockeye salmon
",Salmon,0
Scallop,Placopecten magellanicus,"Sea scallop (Atlantic
scallop, Giant scallop,
Sea Scallop, Scallop)",No,Restaurant,victoria,2018,Scallop,Scallop,Sea scallop,Scallop,0
"Scallop, Bay",Placopecten magellanicus,"Sea scallop (Atlantic
scallop, Giant scallop,
Sea Scallop, Scallop)",Yes,Restaurant,victoria,2018,"Scallop, Bay",Scallop,Sea scallop,Scallop,1
Snapper,Sebastes alutus,"Pacific ocean perch
(Rockfish, Rosefish,
Redfish, Ocean perch,
Pacific Ocean perch)",Yes,Restaurant,victoria,2018,Snapper,Snapper,"Pacific ocean perch
",perch,1
"Snapper, Red",Pagrus major,"Japanese seabream
(Genuine Porgy,
Japanese seabream,
Silver seabream)",Yes,Restaurant,victoria,2018,"Snapper, Red",Snapper,"Japanese seabream
","seabream
",1
"Snapper, Red","Sebastes flavidus or
Sebastes serranoides","S. flavidus: Yellowtailrockfish (Yellowtail
rockfish, Rockfish,
Pacific snapper); S.
serranoides: Olive
rockfish (n/a)","Yes: Red snapper is not an
acceptable market name for S.
flavidus; S. serranoides not on
CFIA's Fish List",Restaurant,victoria,2018,"Snapper, Red",Snapper,S. flavidus: Yellowtailrockfish,"rockfish
",0
"Tuna, Albacore",Thunnus alalunga,"Albacore tuna (Albacore
tuna, Tuna, Albacore)",No,Restaurant,victoria,2018,"Tuna, Albacore",Tuna,Albacore tuna,tuna ,0
"Tuna, Bluefin",Thunnus albacares,"Yellowfin tuna (Tuna,
Yellowfin tuna,
Yellowfin)",Yes,Restaurant,victoria,2018,"Tuna, Bluefin",Tuna,Yellowfin tuna,tuna ,1
Yellowtail,"Seriola
quinqueradiata","Japanese
amberjack (Japanese
Amberjack)",Yes,Restaurant,victoria,2018,Yellowtail,Yellowtail,"Japanese
amberjack",Amberjack,1
